text1,text2,label
Pollution affects air and water quality.,Pollution affects air and water quality using modern approaches.,1
The Industrial Revolution transformed European economies.,The Industrial Revolution transformed European economies using modern approaches.,1
Vaccination helps prevent infectious diseases.,Vaccination helps prevent infectious diseases in real-world applications.,1
Regular exercise improves cardiovascular health.,Regular exercise improves cardiovascular health using modern approaches.,1
Blockchain enables secure digital transactions.,The Internet connects devices globally.,0
Pollution affects air and water quality.,Pollution affects air and water quality through advanced techniques.,1
Tennis matches are played on different court surfaces.,Tennis matches are played on different court surfaces in real-world applications.,1
Artificial intelligence automates complex decision making.,Machine learning enables computers to learn patterns from data.,0
Athletes train rigorously to improve performance.,Athletes train rigorously to improve performance in real-world applications.,1
Vaccination helps prevent infectious diseases.,Vaccination helps prevent infectious diseases through advanced techniques.,1
The Internet connects devices globally.,The Internet connects devices globally in real-world applications.,1
Curriculum design impacts learning outcomes.,Curriculum design impacts learning outcomes through advanced techniques.,1
Online learning increases access to education.,Online learning increases access to education in real-world applications.,1
Information retrieval systems find relevant documents.,Information retrieval systems find relevant documents using modern approaches.,1
Energy cannot be created or destroyed.,Oceans cover most of the Earth's surface.,0
World War II ended in 1945 after global conflict.,World War II ended in 1945 after global conflict in real-world applications.,1
Information retrieval systems find relevant documents.,The solar system contains eight planets.,0
Inflation reduces purchasing power over time.,Cooking pasta requires boiling water.,0
Energy cannot be created or destroyed.,Energy cannot be created or destroyed in real-world applications.,1
Blockchain enables secure digital transactions.,The Internet connects devices globally.,0
Examinations evaluate academic achievement.,The moon orbits the Earth.,0
Online learning increases access to education.,Online learning increases access to education in real-world applications.,1
Named entity recognition identifies entities in text.,Named entity recognition identifies entities in text in real-world applications.,1
